DAUID,ONS_ID,intersect_pct
35060484,23,0.115
35060485,23,1
35060486,23,1
35060329,24,1
35060330,24,1
35061045,903,1
35061046,903,1
35061047,90,0.008
35061047,903,0.992
35061051,903,1
35061053,903,1
35061054,87,1
35061055,87,1
35061056,932,1
35061057,932,1
35061067,28,1
35061069,18,0.998
35061069,28,0.002
35061070,18,1
35061071,18,1
35061072,18,1
35061073,18,1
35061074,18,1
35061075,18,1
35061076,18,1
35061077,18,1
35061078,18,0.965
35061078,28,0.035
35061079,18,1
35061080,18,1
35061081,18,1
35061082,18,0.994
35061082,28,0.006
35060331,24,1
35060332,24,1
35060333,24,1
35060334,24,1
35060336,24,1
35060337,24,1
35060339,24,1
35060343,24,1
35060345,24,1
35060346,24,1
35060347,24,1
35060348,957,1
35060353,957,1
35060354,957,1
35060360,957,1
35060361,957,1
35060364,923,1
35060366,923,1
35060367,24,1
35060368,24,1
35060371,47,1
35060373,28,1
35060375,28,1
35060379,55,1
35060380,47,0.999
35060380,55,0.001
35060381,47,0.999
35060381,55,0.001
35060382,47,1
35060383,47,1
35060384,47,1
35060385,47,1
35060386,47,1
35060387,47,1
35061356,86,1
35061357,86,1
35060391,47,1
35060392,47,1
35060393,47,1
35060394,47,1
35060395,47,1
35060396,47,1
35060397,47,1
35060399,60,0.997
35060399,957,0.003
35060400,957,1
35060401,24,1
35060402,24,1
35060403,24,1
35060404,24,1
35060405,24,1
35060406,24,1
35060407,24,1
35060408,24,1
35060412,55,1
35060413,55,1
35060417,958,1
35060419,958,1
35060434,931,1
35060435,931,1
35060436,931,1
35060437,931,1
35060438,931,1
35060871,38,0.002
35060871,97,0.998
35060872,38,0.004
35060872,97,0.996
35060874,49,1
35060961,919,1
35061358,86,1
35061361,940,1
35061362,940,1
35061363,940,1
35061364,940,1
35061365,940,1
35061366,940,1
35060819,938,1
35060820,938,1
35060823,48,0.163
35060823,926,0.837
35060833,64,1
35060834,64,1
35060835,64,1
35060836,64,1
35060837,64,1
35060838,64,1
35060840,64,1
35060976,940,1
35060977,940,1
35060978,940,1
35060979,940,1
35060984,940,1
35060985,940,1
35060986,940,1
35060987,940,1
35060988,940,1
35060989,940,1
35060990,940,1
35060991,940,1
35061001,912,1
35061018,953,1
35061019,953,1
35061020,934,1
35061026,949,1
35061027,949,1
35061030,940,1
35061031,940,1
35061033,903,1
35061034,903,1
