DAUID,ONS_ID,pct_overlap,pct_overlap_rnd
35061749,931,0.8745612949230507,0.87
35061749,958,0.12543870507694932,0.13
35061750,958,1,1
35061751,931,0.6507853258708005,0.65
35061751,958,0.34921467412919954,0.35
35061752,958,1,1
35061753,931,1,1
35061754,931,0.5321060097180308,0.53
35061754,958,0.4678939902819692,0.47
35061755,958,1,1
35061808,907,1,1
35061820,90,0.9973816163493321,1
35061821,90,0.9965288704301696,1
35061822,90,1,1
35061823,90,0.9991835346642735,1
35061824,90,1,1
35061826,947,1,1
35061809,907,1,1
35061810,907,1,1
35061811,907,1,1
35061812,907,1,1
35061813,35,0.0084658752200306,0.01
35061813,907,0.9915341247799694,0.99
35061815,907,1,1
35061816,907,1,1
35061817,907,1,1
35061818,907,1,1
35061369,29,1,1
35061370,29,0.9990647316891713,1
35061371,35,0.5139443974362775,0.51
35061371,922,0.4648770283630092,0.47
35061371,29,0.02117857420071334,0.02
35061372,29,0.9996555921702488,1
35061539,38,1,1
35060608,6,1,1
35060609,6,0.9965198099220843,1
35060643,906,1,1
35060644,906,1,1
35060645,906,1,1
35060646,906,1,1
35060647,901,0.9943895343034005,0.99
35060647,906,0.00561046569659955,0.01
35060648,901,1,1
35060649,106,0.040564538481481366,0.04
35060649,901,0.9594354615185187,0.96
35060610,6,1,1
35060611,6,0.9995508007589387,1
35060612,6,1,1
35060613,926,0.014049403767734578,0.01
35060613,7,0.9845381926608365,0.99
35060616,7,1,1
35060617,7,1,1
35060618,7,1,1
35060619,7,0.998878285057452,1
35060620,7,1,1
35060622,6,1,1
35060623,926,0.031449585913174385,0.03
35060623,100,0.9685504140868256,0.97
35060624,100,1,1
35060653,32,1,1
35060654,32,1,1
35060655,32,1,1
35060656,32,1,1
35060918,919,0.9951801491790825,1
35060921,46,1,1
35060922,46,1,1
35060681,951,1,1
35060682,951,1,1
35060684,951,1,1
35060970,947,1,1
35060972,947,1,1
35060973,917,1,1
35060974,940,1,1
35060975,940,1,1
35060976,940,1,1
35060977,940,1,1
35060978,940,1,1
35060979,940,1,1
35060984,940,1,1
35060985,940,1,1
35060986,940,1,1
35060987,940,1,1
35061143,944,1,1
35061144,944,1,1
35061145,944,1,1
35061146,944,1,1
35061147,944,1,1
35061148,944,1,1
35061149,944,1,1
35061150,938,0.9989369405445669,1
35060868,97,1,1
35060869,97,1,1
35060870,97,1,1
35060871,97,0.9979743177956406,1
35060894,932,1,1
35060895,932,1,1
35060898,932,1,1
35060923,46,0.9994401763826306,1
35060924,46,0.9489191777799594,0.95
35060924,917,0.05108082222004061,0.05
35060872,97,0.99647531489653,1
35060874,49,1,1
35060875,49,1,1
35060876,49,0.9999984454449451,1
35060877,48,0.005448664712427904,0.01
35060877,49,0.9945513352875721,0.99
35060885,52,1,1
35060888,52,0.9996814208246834,1
35060889,52,1,1
35060890,52,0.9998335256164923,1
35060891,927,0.03828748275362635,0.04
35060891,932,0.9617125172463736,0.96
35060892,932,1,1
35060893,932,1,1
35060899,932,1,1
35060902,932,1,1
35060903,87,1,1
35060904,87,1,1
35060905,87,1,1
35060906,87,1,1
35060907,87,1,1
35060908,87,1,1
35060909,87,1,1
35060910,87,1,1
35060911,87,0.999706994717051,1
35060912,919,1,1
35060913,919,1,1
35060914,919,1,1
35060915,919,1,1
35060916,919,1,1
35060917,919,1,1
35060925,46,1,1
35060926,46,1,1
35060929,46,0.9995304512318834,1
35060930,919,1,1
35060931,919,1,1
35060934,919,1,1
35060935,919,1,1
35060936,919,1,1
35060937,919,1,1
35061151,938,1,1
35061152,938,1,1
35061153,938,1,1
35061154,938,1,1
35061155,938,1,1
35061156,938,1,1
35061157,938,1,1
35061158,938,1,1
35060118,915,1,1
35060119,915,1,1
35060120,915,1,1
35060121,915,1,1
35060122,915,1,1
35060123,915,1,1
35060124,915,1,1
35060194,953,1,1
